	img	id	shapeIndex	angle	estimate	trueNum	transformed
972	Sphere1_C2STT0R2O_view5	C2STT0R2O	Sphere1	22	4.852030263919617	5.25227342804663	5.68002488648283
973	Sphere1_L5QBJQ4J0_view1	L5QBJQ4J0	Sphere1	90	5.393627546352362	5.356586274672012	6.0014425939978295
974	Sphere1_X3P5ZEAHX_view1	X3P5ZEAHX	Sphere1	90	5.556828061699537	6.042632833682381	6.511897450934068
975	Sphere1_VFXWVVYXE_view1	VFXWVVYXE	Sphere1	90	5.568344503761097	6.794586580876499	6.54923003789542
976	Sphere1_BQK1GPSB5_view1	BQK1GPSB5	Sphere1	90	5.666426688112432	6.773080375655535	6.874188642365482
977	Sphere1_L5QBJQ4J0_view2	L5QBJQ4J0	Sphere1	0	4.248495242049359	5.356586274672012	5.219435729772016
978	Sphere1_X3P5ZEAHX_view2	X3P5ZEAHX	Sphere1	0	4.584967478670572	6.042632833682381	5.796250772022233
979	Sphere1_VFXWVVYXE_view2	VFXWVVYXE	Sphere1	0	4.990432586778736	6.794586580876499	6.687454622900724
980	Sphere1_BQK1GPSB5_view2	BQK1GPSB5	Sphere1	0	4.990432586778736	6.773080375655535	6.687454622900724
981	Sphere1_L5QBJQ4J0_view3	L5QBJQ4J0	Sphere1	66	5.225746673713202	5.356586274672012	5.737565048616776
982	Sphere1_X3P5ZEAHX_view3	X3P5ZEAHX	Sphere1	66	5.3471075307174685	6.042632833682381	6.086199870306082
983	Sphere1_VFXWVVYXE_view3	VFXWVVYXE	Sphere1	66	5.424950017481403	6.794586580876499	6.319927783259384
984	Sphere1_BQK1GPSB5_view3	BQK1GPSB5	Sphere1	66	5.4116460518550396	6.773080375655535	6.279421884581907
985	Sphere1_L5QBJQ4J0_view4	L5QBJQ4J0	Sphere1	45	5.0106352940962555	5.356586274672012	5.515943175323422
986	Sphere1_X3P5ZEAHX_view4	X3P5ZEAHX	Sphere1	45	5.187385805840755	6.042632833682381	5.979129340463807
987	Sphere1_VFXWVVYXE_view4	VFXWVVYXE	Sphere1	45	5.37989735354046	6.794586580876499	6.529960854343976
988	Sphere1_BQK1GPSB5_view4	BQK1GPSB5	Sphere1	45	5.342334251964811	6.773080375655535	6.418687552340696
989	Sphere1_L5QBJQ4J0_view5	L5QBJQ4J0	Sphere1	22	4.948759890378168	5.356586274672012	5.907636857506873
990	Sphere1_X3P5ZEAHX_view5	X3P5ZEAHX	Sphere1	22	5.176149732573829	6.042632833682381	6.490748788347528
991	Sphere1_VFXWVVYXE_view5	VFXWVVYXE	Sphere1	22	5.351858133476067	6.794586580876499	6.987503713152158
992	Sphere1_BQK1GPSB5_view5	BQK1GPSB5	Sphere1	22	5.3471075307174685	6.773080375655535	6.973543570522089
993	Sphere1_6BC52LY03_view1	6BC52LY03	Sphere1	90	4.394449154672439	4.219507705176107	3.6333801489582953
994	Sphere1_4K8TN3568_view1	4K8TN3568	Sphere1	90	5.545177444479562	5.996452088619021	6.474305869073401
995	Sphere1_3Q4PQTHOB_view1	3Q4PQTHOB	Sphere1	90	5.564520407322694	6.481577129276431	6.536814375100764
996	Sphere1_8A9TI2WQ7_view1	8A9TI2WQ7	Sphere1	90	5.616771097666572	6.782192056006791	6.708105811663078
997	Sphere1_6BC52LY03_view2	6BC52LY03	Sphere1	0	3.9889840465642745	4.219507705176107	4.875382560383347
998	Sphere1_4K8TN3568_view2	4K8TN3568	Sphere1	0	4.532599493153256	5.996452088619021	5.696777117281087
999	Sphere1_2U5WUV994_view1	2U5WUV994	Sphere1	90	5.564520407322694	6.455198563340122	6.536814375100764
1000	Sphere1_2VVPEOJCT_view1	2VVPEOJCT	Sphere1	90	5.54907608489522	6.885509670034818	6.486865419798548
1001	Sphere1_5ISRX8WX7_view1	5ISRX8WX7	Sphere1	90	5.537334267018537	6.866933284461882	6.449098947224368
1002	Sphere1_3Q4PQTHOB_view2	3Q4PQTHOB	Sphere1	0	4.7535901911063645	6.481577129276431	6.140844603532951
1003	Sphere1_8A9TI2WQ7_view2	8A9TI2WQ7	Sphere1	0	5.017279836814924	6.782192056006791	6.7540306568035895
1004	Sphere1_6BC52LY03_view3	6BC52LY03	Sphere1	66	4.48863636973214	4.219507705176107	4.032580646976829
1005	Sphere1_BWRPH9NZR_view1	BWRPH9NZR	Sphere1	90	5.58724865840025	6.90875477931522	6.610886101973751
1006	Sphere1_PZYC0E03A_view1	PZYC0E03A	Sphere1	90	5.529429087511423	6.5638555265321274	6.423773917841142
